Wavelength (nm),IXON-L-888 Sensor QE
250,17.39
260,12.17
270,8.31
280,8
290,9.22
300,9.76
310,11.85
320,14.12
330,16.35
340,18.71
350,20.83
360,24.91
370,31.45
380,41.53
390,50.89
400,58.12
410,64
420,67.85
430,71.98
440,75.62
450,79.57
460,82.94
470,86.15
480,89.23
490,92.09
500,94.86
510,95.41
520,96.05
530,96.48
540,96.89
550,96.94
560,97.14
570,97.09
580,97.01
590,96.8
600,96.38
610,96.25
620,95.92
630,95.53
640,95.07
650,94.25
660,93.99
670,93.37
680,92.69
690,91.95
700,90.86
710,90.25
720,89.26
730,88.18
740,86.98
750,85.39
760,84.18
770,82.57
780,80.79
790,78.85
800,76.51
810,74.46
820,71.99
830,69.34
840,66.52
850,63.35
860,60.42
870,57.16
880,53.79
890,50.32
900,46.64
910,43.21
920,39.62
930,36.05
940,32.52
950,28.97
960,25.7
970,22.47
980,19.4
990,16.51
1000,13.77
1010,11.33
1020,9.03
1030,7.03
1040,5.28
1050,3.79
